Year,,Large-Cap Value
2018,-9.53%,Large-Cap Value
2017,18.14%,Large-Cap Value
2016,15.77%,Large-Cap Value
2015,-2.63%,Large-Cap Value
2014,12.43%,Large-Cap Value
2013,33.32%,Large-Cap Value
2012,16.59%,Large-Cap Value
2011,-0.77%,Large-Cap Value
2010,12.23%,Large-Cap Value
2009,20.90%,Large-Cap Value
