Year,,Large-Cap Value
2018,-3.79%,Large-Cap Value
2017,16.98%,Large-Cap Value
2016,16.94%,Large-Cap Value
2015,-3.79%,Large-Cap Value
2014,12.18%,Large-Cap Value
2013,29.82%,Large-Cap Value
2012,9.56%,Large-Cap Value
2011,10.19%,Large-Cap Value
2010,12.54%,Large-Cap Value
2009,20.92%,Large-Cap Value
2008,-31.91%,Large-Cap Value
2007,0.64%,Large-Cap Value
2006,N/A,Large-Cap Value
