Year,,Large-Cap Growth
2018,2.86%,Large-Cap Growth
2017,35.34%,Large-Cap Growth
2016,-0.77%,Large-Cap Growth
2015,4.72%,Large-Cap Growth
2014,6.94%,Large-Cap Growth
2013,34.12%,Large-Cap Growth
2012,18.72%,Large-Cap Growth
2011,-4.86%,Large-Cap Growth
2010,17.90%,Large-Cap Growth
2009,32.58%,Large-Cap Growth
2008,-44.25%,Large-Cap Growth
2007,17.22%,Large-Cap Growth
2006,4.09%,Large-Cap Growth
2005,N/A,Large-Cap Growth
