Year,,Large-Cap Growth
2018,6.51%,Large-Cap Growth
2017,34.55%,Large-Cap Growth
2016,5.69%,Large-Cap Growth
2015,-3.57%,Large-Cap Growth
2014,11.86%,Large-Cap Growth
2013,36.77%,Large-Cap Growth
2012,7.50%,Large-Cap Growth
2011,5.68%,Large-Cap Growth
2010,7.62%,Large-Cap Growth
2009,19.16%,Large-Cap Growth
2008,-46.88%,Large-Cap Growth
2007,46.81%,Large-Cap Growth
2006,N/A,Large-Cap Growth
