Date,Open,High,Low,Close,Adj Close,Volume
1996-05-13,223.550003,226.130005,223.240005,225.979996,225.979996,0
1996-05-14,225.990005,229.029999,225.990005,228.270004,228.270004,0
1996-05-15,228.839996,231.080002,228.610001,229.419998,229.419998,0
1996-05-16,229.089996,231.630005,228.449997,231.139999,231.139999,0
1996-05-17,231.199997,231.990005,230.350006,230.500000,230.500000,0
1996-05-20,231.130005,231.160004,229.520004,230.490005,230.490005,0
1996-05-21,230.240005,231.639999,229.550003,229.649994,229.649994,0
1996-05-22,229.190002,231.520004,228.759995,230.899994,230.899994,0
1996-05-23,230.990005,231.940002,230.259995,231.559998,231.559998,0
1996-05-24,231.740005,232.220001,231.229996,231.660004,231.660004,0
1996-05-28,232.100006,232.470001,229.149994,229.160004,229.160004,0
1996-05-29,229.779999,229.830002,227.279999,228.139999,228.139999,0
1996-05-30,228.259995,229.619995,226.779999,229.229996,229.229996,0
1996-05-31,229.550003,231.199997,215.490005,231.190002,231.190002,0
1996-06-03,230.610001,231.360001,229.279999,229.419998,229.419998,0
1996-06-04,230.119995,231.580002,230.119995,231.399994,231.399994,0
1996-06-05,231.330002,232.960007,230.860001,232.570007,232.570007,0
1996-06-06,232.929993,233.220001,230.419998,230.419998,230.419998,0
1996-06-07,229.039993,229.559998,225.779999,229.559998,229.559998,0
1996-06-10,229.720001,231.080002,229.720001,230.229996,230.229996,0
1996-06-11,231.210007,231.800003,230.350006,230.919998,230.919998,0
1996-06-12,231.500000,232.089996,230.100006,230.300003,230.300003,0
1996-06-13,230.820007,231.110001,228.839996,230.690002,230.690002,0
1996-06-14,230.220001,230.250000,229.169998,229.199997,229.199997,0
1996-06-17,229.660004,230.199997,228.509995,228.940002,228.940002,0
1996-06-18,229.220001,230.410004,226.789993,227.110001,227.110001,0
1996-06-19,226.970001,228.710007,226.229996,226.229996,226.229996,0
1996-06-20,227.119995,227.979996,223.449997,224.550003,224.550003,0
1996-06-21,226.149994,227.179993,223.619995,223.839996,223.839996,0
1996-06-24,224.419998,225.139999,223.539993,224.050003,224.050003,0
1996-06-25,224.339996,224.720001,221.720001,221.789993,221.789993,0
1996-06-26,221.759995,222.070007,219.350006,220.320007,220.320007,0
1996-06-27,220.429993,221.660004,218.839996,221.580002,221.580002,0
1996-06-28,222.160004,224.929993,222.059998,224.929993,224.929993,0
1996-07-01,224.610001,225.509995,223.789993,225.509995,225.509995,0
1996-07-02,225.100006,225.380005,222.039993,222.580002,222.580002,0
1996-07-03,223.179993,223.970001,222.100006,223.110001,223.110001,0
1996-07-05,222.059998,222.059998,218.610001,219.169998,219.169998,0
1996-07-08,219.320007,219.880005,214.580002,214.779999,214.779999,0
1996-07-09,216.139999,218.529999,214.619995,218.529999,218.529999,0
1996-07-10,217.649994,217.649994,215.100006,217.110001,217.110001,0
1996-07-11,216.830002,216.830002,210.000000,211.300003,211.300003,0
1996-07-12,212.350006,213.020004,209.789993,211.869995,211.869995,0
1996-07-15,211.869995,212.100006,200.429993,200.529999,200.529999,0
1996-07-16,200.179993,202.149994,189.880005,198.110001,198.110001,0
1996-07-17,199.600006,203.589996,199.600006,202.619995,202.619995,0
1996-07-18,204.350006,206.830002,204.210007,206.820007,206.820007,0
1996-07-19,206.289993,206.289993,202.899994,202.899994,202.899994,0
1996-07-22,203.179993,203.179993,197.410004,198.080002,198.080002,0
1996-07-23,198.990005,199.020004,192.779999,193.160004,193.160004,0
1996-07-24,190.630005,190.630005,188.100006,189.639999,189.639999,0
1996-07-25,190.789993,193.570007,190.789993,193.250000,193.250000,0
1996-07-26,193.669998,195.399994,193.669998,194.949997,194.949997,0
1996-07-29,195.089996,195.720001,192.889999,192.889999,192.889999,0
1996-07-30,194.240005,196.130005,192.710007,196.130005,196.130005,0
1996-07-31,196.500000,200.399994,196.500000,199.589996,199.589996,0
1996-08-01,199.820007,204.339996,199.580002,204.320007,204.320007,0
1996-08-02,206.360001,211.059998,206.360001,209.880005,209.880005,0
1996-08-05,209.690002,211.190002,209.250000,209.660004,209.660004,0
1996-08-06,209.440002,210.809998,208.110001,210.809998,210.809998,0
1996-08-07,210.610001,211.460007,209.119995,210.009995,210.009995,0
1996-08-08,210.000000,210.300003,208.179993,208.309998,208.309998,0
1996-08-09,208.410004,210.509995,207.729996,209.869995,209.869995,0
1996-08-12,209.729996,211.779999,208.660004,211.759995,211.759995,0
1996-08-13,210.949997,211.759995,209.279999,209.610001,209.610001,0
1996-08-14,209.960007,211.860001,209.289993,210.940002,210.940002,0
1996-08-15,211.479996,212.630005,210.949997,211.889999,211.889999,0
1996-08-16,212.759995,213.259995,211.800003,212.000000,212.000000,0
1996-08-19,212.380005,213.410004,211.889999,212.570007,212.570007,0
1996-08-20,212.809998,213.479996,212.160004,212.339996,212.339996,0
1996-08-21,212.589996,212.759995,210.899994,212.509995,212.509995,0
1996-08-22,212.610001,213.820007,212.529999,213.820007,213.820007,0
1996-08-23,213.220001,213.699997,212.210007,212.410004,212.410004,0
1996-08-26,214.419998,214.419998,210.169998,214.050003,214.050003,0
1996-08-27,214.380005,215.009995,211.919998,213.279999,213.279999,0
1996-08-28,213.929993,214.250000,210.619995,211.460007,211.460007,0
1996-08-29,211.199997,211.199997,209.220001,209.750000,209.750000,0
1996-08-30,210.050003,210.779999,208.309998,208.740005,208.740005,0
1996-09-03,207.229996,208.139999,204.889999,208.089996,208.089996,0
1996-09-04,208.610001,209.000000,206.460007,206.880005,206.880005,0
1996-09-05,206.089996,206.779999,204.119995,204.119995,204.119995,0
1996-09-06,205.160004,207.399994,205.160004,206.850006,206.850006,0
1996-09-09,206.800003,208.309998,206.149994,207.770004,207.770004,0
1996-09-10,207.350006,208.130005,206.550003,207.190002,207.190002,0
1996-09-11,206.699997,209.669998,206.220001,209.160004,209.160004,0
1996-09-12,209.809998,211.639999,209.809998,211.639999,211.639999,0
1996-09-13,212.610001,214.919998,212.610001,214.919998,214.919998,0
1996-09-16,214.850006,215.899994,213.820007,214.229996,214.229996,0
1996-09-17,214.520004,214.720001,211.550003,212.570007,212.570007,0
1996-09-18,211.830002,214.339996,211.699997,213.610001,213.610001,0
1996-09-19,214.289993,215.130005,213.850006,214.770004,214.770004,0
1996-09-20,215.169998,218.020004,214.949997,217.139999,217.139999,0
1996-09-23,216.880005,216.880005,213.899994,214.820007,214.820007,0
1996-09-24,213.919998,213.919998,212.080002,213.050003,213.050003,0
1996-09-25,213.389999,213.770004,212.509995,213.070007,213.070007,0
1996-09-26,213.750000,215.479996,213.020004,214.160004,214.160004,0
1996-09-27,214.270004,215.820007,212.580002,215.399994,215.399994,0
1996-09-30,215.570007,216.949997,215.429993,216.300003,216.300003,0
1996-10-01,216.389999,217.250000,215.229996,215.880005,215.880005,0
1996-10-02,215.889999,217.820007,215.889999,217.000000,217.000000,0
1996-10-03,217.360001,217.410004,214.850006,215.000000,215.000000,0
1996-10-04,216.570007,217.949997,216.240005,217.729996,217.729996,0
1996-10-07,217.139999,218.470001,216.410004,217.240005,217.240005,0
1996-10-08,217.559998,217.869995,215.809998,215.970001,215.970001,0
1996-10-09,216.600006,217.000000,214.240005,214.320007,214.320007,0
1996-10-10,214.199997,214.330002,213.220001,213.220001,213.220001,0
1996-10-11,213.720001,216.160004,213.720001,215.610001,215.610001,0
1996-10-14,215.410004,216.009995,214.550003,215.580002,215.580002,0
1996-10-15,215.639999,216.320007,212.929993,213.600006,213.600006,0
1996-10-16,213.380005,213.380005,210.559998,210.990005,210.990005,0
1996-10-17,211.570007,211.940002,209.509995,209.740005,209.740005,0
1996-10-18,210.720001,211.550003,210.440002,210.919998,210.919998,0
1996-10-21,210.860001,211.630005,209.389999,209.520004,209.520004,0
1996-10-22,209.660004,210.000000,207.580002,207.949997,207.949997,0
1996-10-23,208.619995,209.220001,206.990005,208.550003,208.550003,0
1996-10-24,208.759995,210.089996,207.770004,209.570007,209.570007,0
1996-10-25,209.750000,211.850006,209.270004,211.309998,211.309998,0
1996-10-28,211.910004,213.220001,210.600006,210.600006,210.600006,0
1996-10-29,211.970001,212.270004,208.199997,208.580002,208.580002,0
1996-10-30,209.029999,209.369995,205.970001,206.199997,206.199997,0
1996-10-31,206.960007,208.300003,206.259995,208.289993,208.289993,0
1996-11-01,208.600006,222.490005,208.289993,215.479996,215.479996,0
1996-11-04,216.929993,217.539993,216.059998,216.630005,216.630005,0
1996-11-05,216.679993,217.220001,215.690002,216.300003,216.300003,0
1996-11-06,216.830002,217.470001,215.479996,217.070007,217.070007,0
1996-11-07,216.429993,216.639999,215.259995,215.500000,215.500000,0
1996-11-08,215.729996,215.860001,213.940002,214.779999,214.779999,0
1996-11-11,214.850006,215.080002,213.139999,213.619995,213.619995,0
1996-11-12,213.800003,214.649994,212.259995,213.169998,213.169998,0
1996-11-13,214.070007,214.539993,213.350006,214.289993,214.289993,0
1996-11-14,215.470001,216.919998,215.059998,216.250000,216.250000,0
1996-11-15,216.360001,216.770004,213.729996,213.729996,213.729996,0
1996-11-18,214.259995,214.259995,211.259995,212.119995,212.119995,0
1996-11-19,212.169998,212.350006,210.809998,210.910004,210.910004,0
1996-11-20,210.899994,211.220001,210.110001,210.699997,210.699997,0
1996-11-21,211.139999,211.419998,209.009995,209.360001,209.360001,0
1996-11-22,210.449997,211.190002,209.589996,210.229996,210.229996,0
1996-11-25,210.740005,211.440002,209.979996,210.080002,210.080002,0
1996-11-26,210.070007,210.520004,209.220001,210.139999,210.139999,0
1996-11-27,209.929993,210.539993,209.279999,209.779999,209.779999,0
1996-11-29,210.110001,211.130005,210.110001,210.559998,210.559998,0
1996-12-02,211.199997,211.199997,209.729996,210.860001,210.860001,0
